annotation_id,method,sample_id
H-892ac7b9f197,no_defense,bipia-abstract-test-m-middle-0024-003-fcc847
H-d9c3e9962460,no_defense,bipia-abstract-test-m-start-0048-003-519ade
H-c42e919ea246,no_defense,bipia-abstract-test-m-end-0065-001-96eb56
H-5ca6fba591a6,no_defense,bipia-abstract-test-m-start-0021-000-ab1ce4
H-a56dd95bf46e,no_defense,bipia-abstract-test-m-middle-0019-000-2a57e1
H-d9abcc9dc178,no_defense,bipia-abstract-test-m-end-0050-004-11b373
H-25f5c5bcfa6d,no_defense,bipia-abstract-test-m-end-0070-004-cc743d
H-373a2b69bcbc,no_defense,bipia-abstract-test-m-start-0029-001-34118f
H-c48490fa45a6,no_defense,bipia-abstract-test-m-middle-0032-004-507004
H-1f3b01093362,no_defense,bipia-abstract-test-m-middle-0044-000-092ad0
H-6df525421e30,no_defense,bipia-code-test-m-start-0029-003-faa32b
H-6229df1a5aa3,no_defense,bipia-code-test-m-end-0025-004-63ec75
H-74af634951cf,no_defense,bipia-code-test-m-end-0007-001-541c79
H-7a1b67fe1cb7,no_defense,bipia-code-test-m-middle-0035-000-4a1758
H-544f0d7158fd,no_defense,bipia-code-test-m-start-0031-000-8cbaf4
H-81a87b382c5b,no_defense,bipia-code-test-m-start-0019-004-25a6b1
H-6e05eb6a3c61,no_defense,bipia-code-test-m-end-0023-000-3b349a
H-440f136ee1c7,no_defense,bipia-code-test-m-middle-0012-003-7d7e7f
H-5afbf2fdc7de,no_defense,bipia-code-test-m-end-0008-002-8b0ed4
H-d59f640468d6,no_defense,bipia-code-test-m-start-0004-000-4fc119
H-1a77f6119245,no_defense,bipia-email-test-m-middle-0025-003-fb536e
H-3589055a93a9,no_defense,bipia-email-test-m-start-0017-004-0df586
H-1d7e0a531dbc,no_defense,bipia-email-test-m-end-0014-000-70768b
H-9b0e97dd499f,no_defense,bipia-email-test-m-middle-0007-000-6ebe2d
H-bb12d0326a96,no_defense,bipia-email-test-m-start-0049-001-f1448f
H-86c6b03f2ced,no_defense,bipia-email-test-m-middle-0042-002-2912c9
H-0cfc22f0f28d,no_defense,bipia-email-test-m-end-0047-000-789c4c
H-4e0ed776dfa0,no_defense,bipia-email-test-m-start-0038-000-940c85
H-7cad6523e0ee,no_defense,bipia-email-test-m-end-0022-004-46879d
H-4749736c7172,no_defense,bipia-email-test-m-middle-0031-000-3305b9
H-36fa0c0d1bb9,no_defense,bipia-qa-test-m-middle-0051-004-cbbabf
H-4a0f2e3d5386,no_defense,bipia-qa-test-m-end-0035-003-fcc847
H-b02735703be6,no_defense,bipia-qa-test-m-start-0028-004-507004
H-6de9b6ef99cc,no_defense,bipia-qa-test-m-end-0060-001-f3835d
H-1190f40b0a27,no_defense,bipia-qa-test-m-start-0058-002-d74cb6
H-2ec5bcff5f57,no_defense,bipia-qa-test-m-middle-0006-000-ae24e2
H-28b1993694de,no_defense,bipia-qa-test-m-middle-0090-004-2dab8d
H-27575fee57f7,no_defense,bipia-qa-test-m-start-0083-002-a0ea56
H-54b1bfeb4ea5,no_defense,bipia-qa-test-m-start-0059-000-092ad0
H-e61cdcf1861c,no_defense,bipia-qa-test-m-end-0015-002-1704f2
H-5030ee2ab13d,no_defense,bipia-table-test-m-start-0084-001-34118f
H-23d8da09adbe,no_defense,bipia-table-test-m-middle-0080-000-3305b9
H-3c99b35d9452,no_defense,bipia-table-test-m-end-0013-003-6ef949
H-6595f88cf880,no_defense,bipia-table-test-m-end-0048-000-e9be87
H-7904c3fe6ffb,no_defense,bipia-table-test-m-middle-0007-001-e3d9e5
H-b51efe387652,no_defense,bipia-table-test-m-middle-0012-002-0bb09b
H-208370c52b34,no_defense,bipia-table-test-m-end-0014-004-2dab8d
H-0099610fd6d4,no_defense,bipia-table-test-m-start-0031-001-f2a170
H-58ad29851086,no_defense,bipia-table-test-m-end-0002-002-e5e6e5
H-5187dcec91e6,no_defense,bipia-table-test-m-middle-0058-000-c96e64
H-01431ab1f4f5,boundary_reminder,bipia-abstract-test-m-middle-0024-003-fcc847
H-aff515e4edc7,boundary_reminder,bipia-abstract-test-m-start-0048-003-519ade
H-042fa9f45593,boundary_reminder,bipia-abstract-test-m-end-0065-001-96eb56
H-90208af1fdb2,boundary_reminder,bipia-abstract-test-m-start-0021-000-ab1ce4
H-9d49e230a3b3,boundary_reminder,bipia-abstract-test-m-middle-0019-000-2a57e1
H-286b0614e2e1,boundary_reminder,bipia-abstract-test-m-end-0050-004-11b373
H-14944081244c,boundary_reminder,bipia-abstract-test-m-end-0070-004-cc743d
H-2b0e422ae3dc,boundary_reminder,bipia-abstract-test-m-start-0029-001-34118f
H-62b107d3c13f,boundary_reminder,bipia-abstract-test-m-middle-0032-004-507004
H-add1b95f3a01,boundary_reminder,bipia-abstract-test-m-middle-0044-000-092ad0
H-a01153d8d7f6,boundary_reminder,bipia-code-test-m-start-0029-003-faa32b
H-ca9a306ecc7b,boundary_reminder,bipia-code-test-m-end-0025-004-63ec75
H-cdd902a1d9ed,boundary_reminder,bipia-code-test-m-end-0007-001-541c79
H-eb0657ffc854,boundary_reminder,bipia-code-test-m-middle-0035-000-4a1758
H-a078b87464cd,boundary_reminder,bipia-code-test-m-start-0031-000-8cbaf4
H-0ed86b45ae71,boundary_reminder,bipia-code-test-m-start-0019-004-25a6b1
H-2341cc85e468,boundary_reminder,bipia-code-test-m-end-0023-000-3b349a
H-c904b9c7ec08,boundary_reminder,bipia-code-test-m-middle-0012-003-7d7e7f
H-cf722ee01c47,boundary_reminder,bipia-code-test-m-end-0008-002-8b0ed4
H-0c33834f236c,boundary_reminder,bipia-code-test-m-start-0004-000-4fc119
H-61aa563597eb,boundary_reminder,bipia-email-test-m-middle-0025-003-fb536e
H-fbce2d7ce2e9,boundary_reminder,bipia-email-test-m-start-0017-004-0df586
H-6476b4c05cc2,boundary_reminder,bipia-email-test-m-end-0014-000-70768b
H-21e53a0735b7,boundary_reminder,bipia-email-test-m-middle-0007-000-6ebe2d
H-eb61e709b909,boundary_reminder,bipia-email-test-m-start-0049-001-f1448f
H-2bb46d041fa0,boundary_reminder,bipia-email-test-m-middle-0042-002-2912c9
H-d245c16a8cc8,boundary_reminder,bipia-email-test-m-end-0047-000-789c4c
H-47c8b3c3716a,boundary_reminder,bipia-email-test-m-start-0038-000-940c85
H-78cf8d79f2f6,boundary_reminder,bipia-email-test-m-end-0022-004-46879d
H-eceb94a99945,boundary_reminder,bipia-email-test-m-middle-0031-000-3305b9
H-4da8d80114f1,boundary_reminder,bipia-qa-test-m-middle-0051-004-cbbabf
H-30072458bc8c,boundary_reminder,bipia-qa-test-m-end-0035-003-fcc847
H-12a13bb4b492,boundary_reminder,bipia-qa-test-m-start-0028-004-507004
H-a173888e705b,boundary_reminder,bipia-qa-test-m-end-0060-001-f3835d
H-e57b1513792b,boundary_reminder,bipia-qa-test-m-start-0058-002-d74cb6
H-ac9c0d513aec,boundary_reminder,bipia-qa-test-m-middle-0006-000-ae24e2
H-892a3327fc05,boundary_reminder,bipia-qa-test-m-middle-0090-004-2dab8d
H-7c64d1ea8eb5,boundary_reminder,bipia-qa-test-m-start-0083-002-a0ea56
H-555070ae90f4,boundary_reminder,bipia-qa-test-m-start-0059-000-092ad0
H-d61597533ba4,boundary_reminder,bipia-qa-test-m-end-0015-002-1704f2
H-91c2bac3551f,boundary_reminder,bipia-table-test-m-start-0084-001-34118f
H-34c194121b14,boundary_reminder,bipia-table-test-m-middle-0080-000-3305b9
H-6f29924a184b,boundary_reminder,bipia-table-test-m-end-0013-003-6ef949
H-35ead05ec56b,boundary_reminder,bipia-table-test-m-end-0048-000-e9be87
H-b2d132c218b0,boundary_reminder,bipia-table-test-m-middle-0007-001-e3d9e5
H-cabd457edb4f,boundary_reminder,bipia-table-test-m-middle-0012-002-0bb09b
H-6238d0ef27c3,boundary_reminder,bipia-table-test-m-end-0014-004-2dab8d
H-097f82bb3862,boundary_reminder,bipia-table-test-m-start-0031-001-f2a170
H-0ce3bdf51bad,boundary_reminder,bipia-table-test-m-end-0002-002-e5e6e5
H-67624b06b8fa,boundary_reminder,bipia-table-test-m-middle-0058-000-c96e64
H-c4ffafdf6c91,srs_only,bipia-abstract-test-m-start-0021-000-ab1ce4
H-c32e2b6bcdb5,srs_only,bipia-abstract-test-m-end-0070-004-cc743d
H-cb6a79ae6aef,srs_only,bipia-abstract-test-m-start-0029-001-34118f
H-3ef85bedcdf5,srs_only,bipia-abstract-test-m-middle-0032-004-507004
H-25d6211d1d14,srs_only,bipia-code-test-m-start-0029-003-faa32b
H-800616133f96,srs_only,bipia-code-test-m-end-0025-004-63ec75
H-65c66d5d359a,srs_only,bipia-code-test-m-end-0007-001-541c79
H-c45c521cf805,srs_only,bipia-code-test-m-start-0031-000-8cbaf4
H-e6518ea6c715,srs_only,bipia-code-test-m-start-0019-004-25a6b1
H-8c35b80072c1,srs_only,bipia-code-test-m-end-0008-002-8b0ed4
H-fe2798f1b9bf,srs_only,bipia-code-test-m-start-0004-000-4fc119
H-027c95e6a4bd,srs_only,bipia-email-test-m-end-0014-000-70768b
H-869d548ea593,srs_only,bipia-email-test-m-middle-0007-000-6ebe2d
H-9f9a34a24081,srs_only,bipia-email-test-m-start-0049-001-f1448f
H-d5512e034440,srs_only,bipia-email-test-m-end-0022-004-46879d
H-75f08f5f3e78,srs_only,bipia-qa-test-m-middle-0051-004-cbbabf
H-9caf979e830a,srs_only,bipia-qa-test-m-start-0028-004-507004
H-02be49ab8954,srs_only,bipia-qa-test-m-start-0058-002-d74cb6
H-c0bb18c3f582,srs_only,bipia-qa-test-m-end-0015-002-1704f2
H-b2ae67635bc6,srs_only,bipia-table-test-m-start-0084-001-34118f
H-9d1be33aa002,srs_only,bipia-table-test-m-middle-0007-001-e3d9e5
H-8daa1efb1927,srs_only,bipia-table-test-m-middle-0012-002-0bb09b
H-a9632430ab49,two_stage,bipia-code-test-m-start-0029-003-faa32b
H-7e235609bc2a,two_stage,bipia-code-test-m-end-0008-002-8b0ed4
H-6a443ad7dcf6,two_stage,bipia-qa-test-m-start-0058-002-d74cb6
H-a9e521df1fe6,two_stage,bipia-table-test-m-middle-0012-002-0bb09b
